id,location name,type,title,features,pool (0/1),sea view (0/1),garage (0/1)
133733,Nagüeles,houses,"5 bedroom villa for sale, nagueles, marbella, malaga costa del sol, marbella golden mile","bedrooms: 5, bathrooms: 4, floor size (m2): 382, plot size (m2): 858, work required: none, swimming pool, infinity pool, garage",1,0,1
133780,Nagüeles,houses,"5 bedroom villa for sale, nagueles, marbella golden mile, malaga costa del sol","bedrooms: 5, bathrooms: 6, floor size (m2): 338, plot size (m2): 2,500, work required: none, swimming pool, gite / additional accommodation, income, garage",1,0,1
133794,Nagüeles,houses,"5 bedroom villa for sale, nagueles, marbella, malaga costa del sol, marbella golden mile","bedrooms: 5, bathrooms: 5, floor size (m2): 450, plot size (m2): 3,000, work required: none, swimming pool, garage",1,0,1
133831,Golden Mile,apartments,"3 bedroom apartment for sale, el oasis club, marbella golden mile, malaga costa del sol","bedrooms: 3, bathrooms: 3, floor size (m2): 199, work required: none, swimming pool, garage, parking",1,0,1
133908,Nagüeles,houses,"5 bedroom villa for sale, nagueles, marbella golden mile, malaga costa del sol","bedrooms: 5, bathrooms: 3, floor size (m2): 340, plot size (m2): 2,060, swimming pool, balcony, garage, parking, private / not overlooked",1,0,1
133938,Nagüeles,houses,"5 bedroom villa for sale, nagueles, marbella golden mile, malaga costa del sol","bedrooms: 5, bathrooms: 5, floor size (m2): 434, plot size (m2): 1,434, work required: none, swimming pool, gite / additional accommodation, income, garage, parking",1,0,1
133960,Nagüeles,houses,"10 bedroom villa for sale, nagueles, marbella, malaga costa del sol, marbella golden mile","bedrooms: 10, bathrooms: 8, floor size (m2): 527, plot size (m2): 1,904, work required: none, swimming pool, jacuzzi, parking",1,0,0
133961,Golden Mile,apartments,"2 bedroom apartment for sale, marina mariola, golden mile, malaga costa del sol, andalucia","bedrooms: 2, bathrooms: 2, floor size (m2): 128, work required: none, swimming pool, jacuzzi, gym, parking",1,0,0
134014,Golden Mile,apartments,"2 bedroom apartment for sale, alhambra del mar, marbella golden mile, malaga costa del sol","bedrooms: 2, bathrooms: 2, floor size (m2): 183, work required: none, swimming pool, lake, parking",1,0,0
134023,Nagüeles,houses,"4 bedroom villa for sale, cortijo nagueles, marbella golden mile, malaga costa del sol","bedrooms: 4, bathrooms: 3, floor size (m2): 233, plot size (m2): 1,400, work required: none, swimming pool, garage",1,0,1
134051,Golden Mile,apartments,"3 bedroom penthouse for sale, alhambra del mar, marbella golden mile, malaga costa del sol","bedrooms: 3, bathrooms: 2, floor size (m2): 172, work required: none, swimming pool, parking",1,0,0
134086,Golden Mile,apartments,"2 bedroom penthouse for sale, mansion club, marbella, malaga costa del sol, marbella golden mile","bedrooms: 2, bathrooms: 2, floor size (m2): 157, terrace (m2): 57, work required: none, swimming pool, jacuzzi, gym, garage, parking",1,0,1
134101,Nagüeles,houses,"4 bedroom villa for sale, nagueles, marbella milla de oro, malaga costa del sol, andalucia","bedrooms: 4, bathrooms: 3, floor size (m2): 133, plot size (m2): 1,811, swimming pool, air conditioning",1,0,0
134124,Golden Mile,apartments,"2 bedroom apartment for sale, mansion club, marbella golden mile, malaga costa del sol","bedrooms: 2, bathrooms: 2, floor size (m2): 163, work required: none, swimming pool, jacuzzi, gym, garage, parking",1,0,1
134252,Nagüeles,houses,"3 bedroom villa for sale, nagueles, marbella milla de oro, malaga costa del sol, andalucia","bedrooms: 3, bathrooms: 2, floor size (m2): 159, plot size (m2): 440, swimming pool, balcony, air conditioning, parking",1,0,0
