id,title,features,living_area,total_area,plot_area,price,pool,sea_view,garage,location,type,area,price_area,loc_type_mean_price,conta_under,conta_over,over_valued,under_valued,normal,aux1,aux2,aux3,aux4
137595,rustic style villa for sale in nagueles a few minutes away from marbella centre,"fully fitted kitchen, utility room, fireplace, sauna, guest room, storage room, gym, alarm, solarium, security entrance, double glazing, barbeque, telephone, private terrace, wall-to-wall carpet, amenities near, separate apartment, mountain view, transport near, internet - wifi, covered terrace, fitted wardrobes, air conditioning, central heating, underfloor heating (partial), uncovered terrace",0.0,629.0,2850.0,2500000,0,0,0,Nagüeles,houses,629.0,3974.56279809221,3047.855824614271,2285.8918684607033,3809.819780767839,1,0,0,1,2,3,4
138136,"apartment for sale in costa nagueles iii, marbella golden mile. cosy apartment marbella centre","24h service, air conditioning, amenities near, covered terrace, dining room, fitted wardrobes, fully fitted kitchen, garden view, gated community, lift, living room, marble floors, private terrace, sea view, security service 24h, storage room, transport near",55.0,74.0,0.0,191000,0,1,0,Golden Mile,apartments,74.0,2581.0810810810813,5135.613262929439,3851.709947197079,6419.516578661798,0,1,0,1,2,3,4
138255,"ground floor apartment for sale in costa nagueles i, marbella golden mile. lovely sunny  ground floor","24h service, air conditioning, amenities near, covered terrace, garden view, laundry room",86.0,95.0,50.0,287000,0,0,0,Golden Mile,apartments,95.0,3021.0526315789475,5135.613262929439,3851.709947197079,6419.516578661798,0,1,0,1,2,3,4
138449,"rocio de nagueles, modern villa in the heart of the golden mile with sea views","south facing modern style villa in rocio de nagüeles, spectacular sea views, approximately 2,3 kms to marbella centre and the beach, outdoor pool with electric cover and partially heated, parking for 4-5 cars, alarm system, surveillance cameras, security windows, electric shutters in bedrooms , a/c hot and cold, electric underfloor heating in bathrooms , solar panels for heating, water under floor heating in living areas on the ground and first floor, aluminum carpentry , sound system, pre-installation for elevator, 2 water tanks, water softener",425.0,614.0,1265.0,2850000,1,1,0,Golden Mile,houses,614.0,4641.693811074919,4386.031261674726,3289.5234462560447,5482.539077093407,0,0,1,1,2,3,4
138452,"semi detached house for sale in nagueles, marbella golden mile. charming townhouse in corona de nagueles on marbella golden mile","air conditioning, amenities near, barbeque, brand new, central heating, covered terrace, dining room, fireplace, fitted wardrobes, fully fitted kitchen, garden view, gated community, guest room, guest toilet, living room, marble floors, pool view, private terrace, solarium, transport near, utility room",224.0,283.0,151.0,430000,1,0,0,Golden Mile,houses,283.0,1519.434628975265,4386.031261674726,3289.5234462560447,5482.539077093407,0,1,0,1,2,3,4
138523,"nagueles, mountainside townhouse","east facing townhouse with mountain views, within secure development with concierge service, short driving distance to marbella and puerto banus, communal gardens, swimming pools and paddle court, multi-purpose room in basement , 2 underground garage spaces, storage room, air conditioning with heat pump, chimney, marble floors throughout except kitchen and terrace",0.0,368.0,0.0,495000,1,0,1,Nagüeles,houses,368.0,1345.108695652174,3047.855824614271,2285.8918684607033,3809.819780767839,0,1,0,1,2,3,4
138534,"rocio de nagueles, house in rocio de nagueles","family villa in rocio de nagueles, approximately 2,9 kms from the marbella centre and the beach, sea and mountain views, air conditioning on the ground floor and master bedroom, electric under floor heating in bathrooms, low power consumption heating, exterior covered parking for 2 cars , storage /wine cellar, solar panels for hot water",0.0,472.0,1000.0,1350000,0,0,0,Nagüeles,houses,472.0,2860.169491525424,3047.855824614271,2285.8918684607033,3809.819780767839,0,0,1,1,2,3,4
138638,"rocio de nagueles, lovely villa in the golden mile","lovely villa in the heart of rocio de nagueles, at approximately 2,3 kms from the centre of marbella and the beach, garden and pool views, partial sea views from the upper floor, 1 car garage, air conditioning, water underfloor heating, heated indoor swimming pool, sauna, private garden with outdoor pool",0.0,599.0,1200.0,1250000,1,1,1,Golden Mile,houses,599.0,2086.8113522537565,4386.031261674726,3289.5234462560447,5482.539077093407,0,1,0,1,2,3,4
138655,"nagueles, splendid duplex penthouse with sea views","splendid duplex penthouse in luxury development, located on the golden mile, approx. 5 kms from puerto banús, southwest orientation and sea views, two garage spaces and store room, a/c (hot & cold), parquet flooring throughout, communal swimming pool and gardens, fully furnished kitchen, satellite t.v, alarm system, double glazed windows",253.0,312.0,0.0,1390000,1,1,1,Nagüeles,apartments,312.0,4455.128205128205,3007.001076165497,2255.2508071241227,3758.7513452068715,1,0,0,1,2,3,4
138682,"ground floor apartment for sale in mansion club, marbella golden mile. ground floor in mansion club","24h service, air conditioning, central heating, covered terrace, dining room, fitted wardrobes, fully fitted kitchen, garden view, gated community, gym, indoor pool, jacuzzi, kitchen equipped, lift, living room, marble floors, pool view, private terrace, sauna, security service 24h, storage room, video entrance",162.0,211.0,0.0,580000,1,0,0,Golden Mile,apartments,211.0,2748.8151658767774,5135.613262929439,3851.709947197079,6419.516578661798,0,1,0,1,2,3,4
